,Code,Country,City,Latitude,Longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,ABW,Aruba,Oranjestad,12.5304,-70.029,202000000,202000000,204000000,204000000,206000000,206000000,208000000,208000000,210000000,210000000,212000000,212000000
1,AFG,Afghanistan,Kabul,34.5167,69.1833,55444000000,56790000000,58372000000,60234000000,62322000000,64540000000,66742000000,68828000000,70766000000,72592000000,74344000000,76084000000
2,AGO,Angola,Luanda,-8.8383,13.2344,43392000000,45028000000,46712000000,48442000000,50216000000,52032000000,53884000000,55768000000,57684000000,59634000000,61620000000,63650000000
3,ALB,Albania,Tirana,41.3275,19.8189,6006000000,5946000000,5896000000,5858000000,5828000000,5808000000,5792000000,5782000000,5772000000,5768000000,5766000000,5762000000
4,AND,Andorra,Andorra la Vella,42.5,1.5165,168000000,168000000,168000000,168000000,164000000,162000000,158000000,156000000,154000000,154000000,154000000,154000000
5,ARE,United Arab Emirates,Abu Dhabi,24.4667,54.3666,14178000000,15834000000,17100000000,17894000000,18284000000,18396000000,18428000000,18526000000,18722000000,18974000000,19262000000,19542000000
6,ARG,Argentina,Buenos Aires,-34.6025,-58.3975,80160000000,80966000000,81792000000,82640000000,83510000000,84392000000,85276000000,86150000000,87016000000,87874000000,88722000000,89562000000
7,ARM,Armenia,Yerevan,40.1812,44.5136,5816000000,5776000000,5754000000,5754000000,5768000000,5796000000,5824000000,5852000000,5872000000,5890000000,5904000000,5916000000
8,ASM,American Samoa,Pago Pago,-14.274000000000001,-170.705,114000000,114000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,110000000,110000000
9,ATG,Antigua And Barbuda,Saint John’s,17.118,-61.85,170000000,174000000,176000000,178000000,180000000,184000000,186000000,188000000,190000000,190000000,192000000,194000000
10,AUS,Australia,Canberra,-35.283,149.129,42664000000,43502000000,44310000000,45076000000,45808000000,46510000000,47192000000,47864000000,48526000000,49170000000,49796000000,50406000000
11,AUT,Austria,Vienna,48.2,16.3666,16684000000,16746000000,16820000000,16908000000,17004000000,17112000000,17230000000,17358000000,17494000000,17640000000,17782000000,17910000000
12,AZE,Azerbaijan,Baku,40.3953,49.8622,17644000000,17848000000,18064000000,18292000000,18530000000,18770000000,19012000000,19246000000,19472000000,19690000000,19900000000,20096000000
13,BDI,Burundi,Gitega,-3.4271,29.9246,16252000000,16796000000,17352000000,17916000000,18492000000,19080000000,19688000000,20320000000,20976000000,21654000000,22350000000,23062000000
14,BEL,Belgium,Brussels,50.8333,4.3333,21558000000,21720000000,21878000000,22028000000,22170000000,22308000000,22442000000,22576000000,22708000000,22840000000,22964000000,23078000000
15,BEN,Benin,Porto-Novo,6.4833,2.6166,17394000000,17890000000,18398000000,18922000000,19458000000,20010000000,20574000000,21152000000,21744000000,22350000000,22970000000,23602000000
16,BFA,Burkina Faso,Ouagadougou,12.3703,-1.5247,29380000000,30282000000,31210000000,32164000000,33142000000,34146000000,35172000000,36222000000,37292000000,38386000000,39502000000,40642000000
17,BGD,Bangladesh,Dhaka,23.7231,90.4086,288608000000,291849984000,295150016000,298545984000,302012000000,305521984000,309033984000,312512000000,315953984000,319369984000,322753984000,326092000000
18,BGR,Bulgaria,Sofia,42.6833,23.3167,15048000000,14948000000,14850000000,14758000000,14668000000,14580000000,14492000000,14400000000,14304000000,14204000000,14104000000,14000000000
19,BHR,Bahrain,Manama,26.2361,50.5831,2230000000,2370000000,2482000000,2556000000,2600000000,2630000000,2672000000,2744000000,2852000000,2988000000,3138000000,3282000000
20,BHS,"Bahamas, The",Nassau,25.0834,-77.35,688000000,700000000,710000000,720000000,728000000,734000000,742000000,748000000,756000000,764000000,772000000,778000000
21,BIH,Bosnia And Herzegovina,Sarajevo,43.85,18.383,7508000000,7472000000,7410000000,7322000000,7210000000,7086000000,6964000000,6858000000,6772000000,6704000000,6648000000,6602000000
22,BLR,Belarus,Minsk,53.9,27.5666,18906000000,18866000000,18842000000,18830000000,18834000000,18848000000,18864000000,18878000000,18892000000,18900000000,18906000000,18904000000
23,BLZ,Belize,Belmopan,17.252,-88.7671,614000000,630000000,644000000,660000000,676000000,692000000,706000000,722000000,736000000,752000000,766000000,780000000
24,BOL,Bolivia,La Paz,-16.498,-68.15,19442000000,19770000000,20098000000,20426000000,20756000000,21084000000,21414000000,21740000000,22064000000,22386000000,22706000000,23026000000
25,BRA,Brazil,Brasília,-15.7833,-47.9161,384060000000,387774016000,391428000000,395030016000,398574016000,402072000000,405528000000,408944000000,412326016000,415668000000,418937984000,422100000000
26,BRB,Barbados,Bridgetown,13.102,-59.6165,560000000,562000000,564000000,566000000,568000000,568000000,570000000,570000000,572000000,572000000,574000000,574000000
27,BRN,Brunei,Bandar Seri Begawan,4.8833,114.9333,758000000,768000000,778000000,788000000,798000000,808000000,820000000,830000000,840000000,848000000,858000000,866000000
28,BTN,Bhutan,Thimphu,27.473000000000003,89.639,1344000000,1356000000,1372000000,1386000000,1404000000,1420000000,1438000000,1456000000,1474000000,1492000000,1508000000,1526000000
29,BWA,Botswana,Gaborone,-24.6463,25.9119,3832000000,3906000000,3974000000,4030000000,4080000000,4126000000,4178000000,4242000000,4320000000,4410000000,4508000000,4608000000
30,CAF,Central African Republic,Bangui,4.3666,18.5583,8546000000,8676000000,8774000000,8838000000,8872000000,8896000000,8928000000,8986000000,9076000000,9192000000,9332000000,9490000000
31,CAN,Canada,Ottawa,45.4167,-75.7,66676000000,67492000000,68296000000,69078000000,69844000000,70594000000,71328000000,72054000000,72766000000,73464000000,74150000000,74822000000
32,CHE,Switzerland,Bern,46.9167,7.4670000000000005,15246000000,15428000000,15618000000,15814000000,16016000000,16218000000,16412000000,16594000000,16760000000,16912000000,17052000000,17182000000
33,CHL,Chile,Santiago,-33.45,-70.667,33416000000,33772000000,34126000000,34468000000,34800000000,35144000000,35518000000,35938000000,36418000000,36940000000,37458000000,37904000000
34,CHN,China,Beijing,39.9289,116.3883,2707138048000,2722338048000,2737622016000,2752996096000,2768411904000,2783766016000,2798907904000,2813696000000,2828098048000,2842043904000,2855296000000,2867568128000
35,CIV,Côte D’Ivoire,Yamoussoukro,6.8184,-5.2755,39212000000,40118000000,41066000000,42058000000,43094000000,44176000000,45296000000,46452000000,47646000000,48874000000,50138000000,51434000000
36,CMR,Cameroon,Yaoundé,3.8667,11.5167,38506000000,39580000000,40682000000,41812000000,42970000000,44154000000,45364000000,46596000000,47854000000,49132000000,50432000000,51752000000
37,COD,Congo (Kinshasa),Kinshasa,-4.3297,15.315,120822000000,124898000000,129128000000,133510000000,138042000000,142718000000,147534000000,152490000000,157578000000,162798000000,168136000000,173582000000
38,COG,Congo (Brazzaville),Brazzaville,-4.2592,15.2847,8022000000,8290000000,8548000000,8790000000,9020000000,9246000000,9474000000,9712000000,9962000000,10222000000,10488000000,10762000000
39,COL,Colombia,Bogotá,4.5964,-74.0833,88510000000,89500000000,90446000000,91326000000,92152000000,92990000000,93936000000,95042000000,96350000000,97820000000,99322000000,100678000000
40,COM,Comoros,Moroni,-11.7042,43.2402,1314000000,1346000000,1380000000,1414000000,1448000000,1484000000,1518000000,1554000000,1592000000,1628000000,1664000000,1702000000
41,CPV,Cabo Verde,Praia,14.9167,-23.5167,962000000,974000000,986000000,998000000,1010000000,1024000000,1036000000,1050000000,1062000000,1074000000,1088000000,1100000000
42,CRI,Costa Rica,San José,9.935,-84.0841,8926000000,9042000000,9154000000,9266000000,9376000000,9484000000,9590000000,9696000000,9798000000,9900000000,9998000000,10096000000
43,CUB,Cuba,Havana,23.131999999999998,-82.3642,22474000000,22454000000,22452000000,22474000000,22514000000,22566000000,22614000000,22650000000,22670000000,22678000000,22676000000,22666000000
44,CUW,Curaçao,Willemstad,12.2004,-69.02,282000000,290000000,298000000,304000000,310000000,314000000,316000000,320000000,322000000,324000000,326000000,326000000
45,CYP,Cyprus,Nicosia,35.1667,33.3666,2164000000,2196000000,2226000000,2250000000,2270000000,2288000000,2304000000,2322000000,2340000000,2360000000,2378000000,2398000000
46,CZE,Czechia,Prague,50.0833,14.466,20850000000,20976000000,21074000000,21134000000,21162000000,21174000000,21182000000,21202000000,21238000000,21282000000,21332000000,21378000000
47,DEU,Germany,Berlin,52.5218,13.4015,162132000000,161800000000,161654000000,161712000000,161946000000,162348000000,162900000000,163574000000,164388000000,165316000000,166248000000,167034000000
48,DJI,Djibouti,Djibouti,11.595,43.148,1632000000,1656000000,1680000000,1708000000,1736000000,1766000000,1798000000,1828000000,1858000000,1888000000,1918000000,1948000000
49,DMA,Dominica,Roseau,15.300999999999998,-61.387,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,144000000,144000000
50,DNK,Denmark,Copenhagen,55.6786,12.5635,10996000000,11052000000,11110000000,11166000000,11222000000,11276000000,11328000000,11378000000,11422000000,11464000000,11504000000,11544000000
51,DOM,Dominican Republic,Santo Domingo,18.4701,-69.9001,18916000000,19154000000,19390000000,19626000000,19862000000,20096000000,20330000000,20564000000,20796000000,21026000000,21254000000,21478000000
52,DZA,Algeria,Algiers,36.7631,3.0506,69462000000,70668000000,71954000000,73322000000,74768000000,76280000000,77848000000,79456000000,81102000000,82778000000,84456000000,86106000000
53,ECU,Ecuador,Quito,-0.215,-78.5001,29072000000,29548000000,30022000000,30488000000,30948000000,31414000000,31904000000,32424000000,32982000000,33570000000,34168000000,34748000000
54,EGY,Egypt,Cairo,30.05,31.25,159272000000,162270000000,165522000000,169058000000,172844000000,176810000000,180850000000,184886000000,188894000000,192886000000,196848000000,200776000000
55,ERI,Eritrea,Asmara,15.3333,38.9333,6126000000,6240000000,6340000000,6428000000,6500000000,6562000000,6622000000,6686000000,6754000000,6826000000,6906000000,6994000000
56,ESP,Spain,Madrid,40.4,-3.6834,92138000000,93168000000,93862000000,94168000000,94126000000,93862000000,93556000000,93344000000,93268000000,93294000000,93386000000,93474000000
57,EST,Estonia,Tallinn,59.4339,24.728,2680000000,2672000000,2664000000,2656000000,2646000000,2638000000,2632000000,2630000000,2634000000,2638000000,2646000000,2652000000
58,ETH,Ethiopia,Addis Ababa,9.0333,38.7,165832000000,170468000000,175280000000,180280000000,185454000000,190772000000,196188000000,201670000000,207206000000,212800000000,218448000000,224158000000
59,FIN,Finland,Helsinki,60.1756,24.9341,10638000000,10684000000,10732000000,10780000000,10830000000,10878000000,10922000000,10962000000,10996000000,11022000000,11046000000,11064000000
60,FJI,Fiji,Suva,-18.133,178.4417,1690000000,1708000000,1720000000,1726000000,1730000000,1732000000,1732000000,1738000000,1744000000,1754000000,1766000000,1780000000
61,FRA,France,Paris,48.8667,2.3333,124418000000,125086000000,125760000000,126444000000,127128000000,127788000000,128388000000,128906000000,129336000000,129686000000,129982000000,130260000000
62,FSM,"Micronesia, Federated States Of",Palikir,6.9166,158.15,208000000,206000000,206000000,206000000,210000000,212000000,214000000,218000000,220000000,222000000,226000000,228000000
63,GAB,Gabon,Libreville,0.3854,9.458,3038000000,3138000000,3248000000,3370000000,3500000000,3634000000,3768000000,3896000000,4016000000,4130000000,4238000000,4346000000
64,GBR,United Kingdom,London,51.5,-0.1167,124290000000,125658000000,126920000000,128044000000,129050000000,129968000000,130846000000,131720000000,132596000000,133454000000,134284000000,135060000000
65,GEO,Georgia,Tbilisi,41.725,44.7908,8286000000,8238000000,8198000000,8162000000,8128000000,8098000000,8070000000,8048000000,8030000000,8018000000,8006000000,7994000000
66,GHA,Ghana,Accra,5.55,-0.2167,47128000000,48342000000,49560000000,50776000000,51992000000,53216000000,54448000000,55698000000,56964000000,58242000000,59534000000,60836000000
