,Code,Country,City,Latitude,Longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,ABW,Aruba,Oranjestad,12.5304,-70.029,101000,101000,102000,102000,103000,103000,104000,104000,105000,105000,106000,106000
1,AFG,Afghanistan,Kabul,34.5167,69.1833,27722000,28395000,29186000,30117000,31161000,32270000,33371000,34414000,35383000,36296000,37172000,38042000
2,AGO,Angola,Luanda,-8.8383,13.2344,21696000,22514000,23356000,24221000,25108000,26016000,26942000,27884000,28842000,29817000,30810000,31825000
3,ALB,Albania,Tirana,41.3275,19.8189,3003000,2973000,2948000,2929000,2914000,2904000,2896000,2891000,2886000,2884000,2883000,2881000
4,AND,Andorra,Andorra la Vella,42.5,1.5165,84000,84000,84000,84000,82000,81000,79000,78000,77000,77000,77000,77000
5,ARE,United Arab Emirates,Abu Dhabi,24.4667,54.3666,7089000,7917000,8550000,8947000,9142000,9198000,9214000,9263000,9361000,9487000,9631000,9771000
6,ARG,Argentina,Buenos Aires,-34.6025,-58.3975,40080000,40483000,40896000,41320000,41755000,42196000,42638000,43075000,43508000,43937000,44361000,44781000
7,ARM,Armenia,Yerevan,40.1812,44.5136,2908000,2888000,2877000,2877000,2884000,2898000,2912000,2926000,2936000,2945000,2952000,2958000
8,ASM,American Samoa,Pago Pago,-14.274000000000001,-170.705,57000,57000,56000,56000,56000,56000,56000,56000,56000,56000,55000,55000
9,ATG,Antigua And Barbuda,Saint John’s,17.118,-61.85,85000,87000,88000,89000,90000,92000,93000,94000,95000,95000,96000,97000
10,AUS,Australia,Canberra,-35.283,149.129,21332000,21751000,22155000,22538000,22904000,23255000,23596000,23932000,24263000,24585000,24898000,25203000
11,AUT,Austria,Vienna,48.2,16.3666,8342000,8373000,8410000,8454000,8502000,8556000,8615000,8679000,8747000,8820000,8891000,8955000
12,AZE,Azerbaijan,Baku,40.3953,49.8622,8822000,8924000,9032000,9146000,9265000,9385000,9506000,9623000,9736000,9845000,9950000,10048000
13,BDI,Burundi,Gitega,-3.4271,29.9246,8126000,8398000,8676000,8958000,9246000,9540000,9844000,10160000,10488000,10827000,11175000,11531000
14,BEL,Belgium,Brussels,50.8333,4.3333,10779000,10860000,10939000,11014000,11085000,11154000,11221000,11288000,11354000,11420000,11482000,11539000
15,BEN,Benin,Porto-Novo,6.4833,2.6166,8697000,8945000,9199000,9461000,9729000,10005000,10287000,10576000,10872000,11175000,11485000,11801000
16,BFA,Burkina Faso,Ouagadougou,12.3703,-1.5247,14690000,15141000,15605000,16082000,16571000,17073000,17586000,18111000,18646000,19193000,19751000,20321000
17,BGD,Bangladesh,Dhaka,23.7231,90.4086,144304000,145924992,147575008,149272992,151006000,152760992,154516992,156256000,157976992,159684992,161376992,163046000
18,BGR,Bulgaria,Sofia,42.6833,23.3167,7524000,7474000,7425000,7379000,7334000,7290000,7246000,7200000,7152000,7102000,7052000,7000000
19,BHR,Bahrain,Manama,26.2361,50.5831,1115000,1185000,1241000,1278000,1300000,1315000,1336000,1372000,1426000,1494000,1569000,1641000
